"subid","site","age","cond","order","q","answer","polite","q_kind"
"30BXRY","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3300DT","India","adult","cont","1","trial1_2_play",1,"NA","play"
"35L9RV","India","adult","cont","1","trial1_2_play",1,"NA","play"
"37TD41","India","adult","cont","1","trial1_2_play",1,"NA","play"
"39ASUF","India","adult","expt","1","trial1_2_play",1,"NA","play"
"3A0EX8","India","adult","cont","1","trial1_2_play",0,"NA","play"
"3A9AA9","India","adult","cont","1","trial1_2_play",0,"NA","play"
"3BEFOD","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3E13VN","India","adult","expt","1","trial1_2_play",1,"NA","play"
"3EFVCA","India","adult","expt","1","trial1_2_play",0,"NA","play"
"3EJJQN","India","adult","cont","1","trial1_2_play",0,"NA","play"
"3FTF2T","India","adult","cont","1","trial1_2_play",0,"NA","play"
"3FTYUG","India","adult","expt","1","trial1_2_play",0,"NA","play"
"3GNA64","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3JAOYW","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3JC6VJ","India","adult","expt","1","trial1_2_play",0,"NA","play"
"3KJYX6","India","adult","expt","1","trial1_2_play",0,"NA","play"
"3M0BCW","India","adult","expt","1","trial1_2_play",1,"NA","play"
"3MYYFC","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3N8OEV","India","adult","expt","1","trial1_2_play",1,"NA","play"
"3PH3VY","India","adult","expt","1","trial1_2_play",1,"NA","play"
"3PW9OP","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3Q8GYX","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3QL2OF","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3R2PKQ","India","adult","expt","1","trial1_2_play",1,"NA","play"
"3RYC5T","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3SNVL3","India","adult","cont","1","trial1_2_play",0,"NA","play"
"3TUI15","India","adult","expt","1","trial1_2_play",1,"NA","play"
"3U088Z","India","adult","cont","1","trial1_2_play",0,"NA","play"
"3U5JL4","India","adult","cont","1","trial1_2_play",1,"NA","play"
"3VJ40N","India","adult","expt","1","trial1_2_play",0,"NA","play"
