subid,order,teachM,teachN,M1,M2,N1,N2,trial1_comp_like,trial1_comp_tell,trial1_SWhy,trial1_LFeel,trial1_Lfeel_val,trial1_niceness,trial1_whyNice,trial2_comp_like,trial2_comp_tell,trial2_SWhy,trial2_LFeel,trial2_Lfeel_val,trial2_niceness,trial2_whyNice,trial1_2_play,trial1_2_playWhy,trial1_2_eval,trial1_2_evalWhy,trial3_comp_like,trial3_comp_tell,trial3_SWhy,trial3_LFeel,trial3_Lfeel_val,trial3_niceness,trial3_whyNice,trial4_comp_like,trial4_comp_tell,trial4_SWhy,trial4_LFeel,trial4_Lfeel_val,trial4_niceness,trial4_whyNice,trial3_4_play,trial3_4_playWhy,trial3_4_eval,trial3_4_evalWhy,trial1_2_playCorrect,trial1_2_evalCorrect,trial3_4_playCorrect,trial3_4_evalCorrect
150721-02-tp,1,,,,,,,Y,Y,"never tried it before, then yucky because didn't know it would taste like that",sad,0,1,,Y,Y,didn't want to hurt her feelngs,happy,1,5,,2,she's super nice,2,she has her favorite fruits inside her lunchbox,Y,Y,thought ugly but then noticed it was pretty,happy,1,5,,Y,Y,the picture wasn't one of his favorites,sad,0,5,,1,so so nice,1,has one of his favorite types of fish inside,Y,N,Y,N
150723-01-tp,1,,,,,,,Y,Y,idk,sad,0,1,,Y,Y,it was yummy,idk,NA,2,,2,idk,2,idk,Y,Y,idk,mean,0,1,,Y,Y,idk,sad,0,3,,1,just because,1,idk,Y,N,Y,N
150723-02-tp,1,,,,,,,Y,Y,didn't like the cookie,sad,0,5,,Y,N,didn't like it,sad,0,5,,"2, both",idk,2,I think there's a sour apple,Y,N,didn't like it,sad,0,5,,Y,Y,didn't like it,sad,0,5,,1,he's nice!,1,he's so nice,Y,N,Y,N
150723-03-tp,1,,,,,,,Y,Y,idk,sad,0,5,,Y,Y,idk,sad,0,4,,none,they're mean and don't like his cookie,1,has a bigger one and isn't the same person,Y,N,idk,sad,0,2,,Y,Y,idk,sad,0,5,,none,"if I make pasta, they might throw it on the floor, then they'd have to pick it up",2,his head is a little bigger and can think better,NA,Y,Y,Y
150723-04-tp,1,,,,,,,Y,Y,idk,idk,NA,5,,Y,Y,so he wouldn't feel bad,idk,NA,2,,2,she's nicer,1,idk,Y,Y,to make her feel good,idk,NA,1,,Y,Y,idk,not good,0,1,,1,he's nicer,1,just because,Y,Y,Y,N
150723-05-tp,1,,,,,,,Y,Y,idk,sad,0,1,,Y,N,idk,sad,0,2,,2,she's wearing pink and green,2,I just do,Y,N,idk,idk,NA,3,,Y,Y,idk,sad,0,1,,1,kind of mean and kind of nice,1,idk,Y,N,Y,N
150723-06-tp,1,,,,,,,Y,Y,she was mean,sad,0,1,,Y,Y,idk,good; there's a better way to treat someone,1,4,,2,she's nicer,2,idk why because they're both the same so idk,Y,Y,doesn't want to hurt her feelings or make her feel sad,she liked it,1,4,,Y,Y,he's mean,sad,0,2,,1,he's nicer,1,he's nicer,Y,N,Y,N
150723-07-tp,1,,,,,,,Y,Y,idk,sad,0,5,,Y,N,his cookie was yucky,sad,0,5,,2,she's nice and Sally's not nice,2,she's nice,Y,Y,he's nice,sad,0,5,,Y,Y,he's bad,sad,0,1,,1,he said her picture was beautiful,1,he said her picture was beautiful,Y,N,Y,N
150723-08-tp,1,,,,,,,Y,Y,idk,sad,0,5,,Y,Y,she wanted to play with him,happy,1,5,,2,she told him the cookie was tasty,2,there are two boxes,Y,Y,idk,sad,0,5,,Y,Y,idk,sad I think,0,5,,2,idk,1,idk,Y,N,N,Y
150728-01-tp,2,Y,Y,Y,N,Y,Y,Y,Y,didn't want to tell a lie but thought it was ugly,sad,0,1,,Y,Y,she wanted to make him feel happy,happy,1,3,,2,she's wearing my favorite color,2,she looks prettier,Y,N,because he wanted to make her feel happy,happy,1,3,,Y,Y,"because he didn't want to tell a lie, but he thought it was ugly",sad,0,1,,2,he looks prettier,2,he looks prettier,Y,N,N,Y
