subid,child_initials,consent,consent-vid,Age,Gender,site,hispanic_latino,Ethnicity/Race,English,lang1,lang2,lang3,parent1_ed,parent2_ed,"No_preemie (Y=normal, N=preemie)",Comments
150721-01-tp,--,,,--,--,US,,--,,,,,,,,Recorded on video (uploaded to the server) but not yet on the subject log
150721-02-tp,ZF,,,4.901369863,F,US,,H Af C,,,,,,,,
150723-01-tp,PH,,,4.438356164,M,US,,C,,,,,,,,
150723-02-tp,EB,,,5.049315068,F,US,,H C,,,,,,,,
150723-03-tp,MS,,,3.761643836,F,US,,H C,,,,,,,,
150723-04-tp,CS,,,5.030136986,M,US,,A C,,,,,,,,
150723-05-tp,NS,,,4.446575342,F,US,,C,,,,,,,,
150723-06-tp,EN,,,5.334246575,F,US,,H C,,,,,,,,
150723-07-tp,HE,,,4.043835616,M,US,,C,,,,,,,,
150723-08-tp,MM,,,3.339726027,F,US,,ME C,,,,,,,,
150728-01-tp,EVB,,,4.931506849,F,US,,C,,,,,,,,
150728-02-tp,MW,,,4.463013699,F,US,,C,,,,,,,,
150728-03-tp,LN,,,3.098630137,F,US,,C,,,,,,,,
150728-04-tp,NC,,,5.021917808,F,US,,H C,,,,,,,,
150730-01-tp,HB,,,3.265753425,F,US,,C,,,,,,,,
150730-02-tp,LL,,,4.22739726,F,US,,Cj,,,,,,,,
150730-03-tp,EB,,,5.38630137,F,US,,C,,,,,,,,
150730-04-tp,AC,,,4.005479452,M,US,,I,,,,,,,,
150730-05-tp,TF,,,4.734246575,M,US,,Af ME,,,,,,,,
150804-01-tp,TE,,,3.304109589,F,US,,ME I,,,,,,,,
150804-02-tp,CC,,,4.046575342,M,US,,C,,,,,,,,didn't finish
150804-03-tp,WL,,,5.249315068,M,US,,C,,,,,,,,
150804-04-tp,JC,,,5.054794521,M,US,,A,,,,,,,,
150804-05-tp,JF,,,4.909589041,M,US,,C SN,,,,,,,,
150806-01-tp,ND,,,5.602739726,F,US,,ME,,,,,,,,didn't finish
150806-02-tp,EC,,,4.898630137,F,US,,C SN,,,,,,,,
150806-03-tp,US,,,4.945205479,M,US,,I,,,,,,,,didn't finish
150818-01-tp_cdm,,Y,Y,5.906849315,F,US,,white,,,,,,,,no video recording
150818-02-tp_cdm,,Y,Y,5,M,US,,decline to state,,,,,,,,no video recording
150820-01-tp_cdm,,Y,Y,5.794520548,F,US,N,white (South African/American),6,NA,NA,NA,graduate,some graduate,Y,
150820-02-tp_cdm,,Y,Y,4.128767123,F,US,decline to state,decline to state,4,Mandarin,NA,NA,graduate,4 year college,N,
150820-03-tp_cdm,,Y,Y,5.945205479,F,US,N,white,6,NA,NA,NA,some graduate,4 year college,Y,
150820-04-tp_cdm,,Y,Y,6.846575342,M,US,N,Asian,6,NA,NA,NA,4 year college,graduate,Y,
150820-05-tp_cdm,,Y,Y,6.495890411,M,US,N,white,6,NA,NA,NA,some graduate,4 year college,Y,
150903-01,,Y,Y,6.602739726,M,korea,,,,,,,,,,
150903-02,,Y,Y,6.465753425,M,korea,,,,,,,,,,
150903-03,,Y,N,6.501369863,M,korea,,,,,,,,,,
150903-04,,Y,Y,6.369863014,F,korea,,,,,,,,,,
150903-05,,Y,N,6.057534247,F,korea,,,,,,,,,,
150903-06,,Y,N,6.254794521,F,korea,,,,,,,,,,
150903-07,,Y,Y,6.660273973,M,korea,,,,,,,,,,
