subid,site,cond,order,age,sex,lang,practice1_nice,practice1_mean,practice2_nice,practice2_mean,practice3_truth,practice3_truth,trial1_comp_like,trial1_comp_tell,trial1_SWhy,trial1_LFeel,trial1_nice,trial1_mean,trial1_truth,trial2_comp_like,trial2_comp_tell,trial2_SWhy,trial2_LFeel,trial2_nice,trial2_mean,trial2_truth,trial1_2_play,trial1_2_playWhy,trial1_2_eval,trial1_2_evalWhy,trial1_2_selfEval,trial1_2_selfEvalWhy,trial3_comp_like,trial3_comp_tell,trial3_SWhy,trial3_LFeel,trial3_nice,trial3_mean,trial3_truth,trial4_comp_like,trial4_comp_tell,trial4_SWhy,trial4_LFeel,trial4_nice,trial4_mean,trial4_truth,trial3_4_play,trial3_4_playWhy,trial3_4_eval,trial3_4_evalWhy,trial3_4_selfEval,trial3_4_selfEvalWhy,trial1_2_playCorrect,trial1_2_evalCorrect,trial1_2_selfEvalCorrect,trial3_4_playCorrect,trial3_4_evalCorrect,trial3_4_selfEvalCorrect
160105-01_3A1,india,exp,1,8,M,hindi,y,y,y,y,y,y,y,y,didn't like,bad,y,n,y,y,y,didn't like,bad,n,y,n,honest,right,polite,liked,NA,NA,y,y,won't feel bad,good,n,y,n,y,y,bad,bad,y,n,y,honest,good,polite,liked,NA,NA,n,y,NA,n,y,NA
160105-02_3A56,india,cont,2,8,F,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,doesn't lie,honest,doesn't lie,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,doesn't lie,honest ,doesn't lie,NA,NA,y,y,NA,y,NA,NA
160105-03_3A44,india,exp,2,8,F,gujarati,y,y,y,y,y,y,y,y,truth,nice,y,n,y,y,y,won't feel bad,nice,y,y,n,honest,truth,honest,truth,NA,NA,y,y,asked,nice,y,n,n,y,y,asked,nice,n,y,n,honest,truth,honest,truth,NA,NA,n,n,NA,n,n,NA
160105-04_3A34,india,cont,1,8,M,gujarati,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,y,honest,good,honest,truth,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,truth,honest,truth,NA,NA,y,y,NA,y,y,NA
160105-08_1A11,india,exp,1,6,M,hindi,y,y,y,y,y,y,y,y,didn't like,bad,n,y,y,y,y,lied,good,n,y,n,honest,good,honest,good,NA,NA,y,y,lied,good,n,y,y,y,y,truth,bad,n,y,y,honest,good,honest,told right,NA,NA,n,n,NA,n,n,NA
160105-09_1A12,india,cont,2,6,M,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,polite,truth,polite,good,NA,NA,y,y,NA,NA,y,n,y,y,y,NA,NA,y,n,y,honest,drawn,polite,good,NA,NA,n,n,NA,y,n,NA
160106-01_3A40,india,exp,2,8,F,gujarati,y,y,y,y,y,y,y,y,tasted bad,bad,y,n,y,y,y,won't feel bad,good,n,y,n,polite,truth,polite,truth,NA,NA,y,y,won't feel bad,good,n,y,n,y,y,didn't like,bad,y,n,y,honest,said don't like,honest,truth,NA,NA,y,y,NA,n,n,NA
160106-02_3A48,india,exp,1,8,F,hindi,y,y,y,y,y,y,y,y,doesn't know how to bake,bad,n,y,y,y,y,won't feel bad,good,y,n,n,polite,made feel good,polite,said like,NA,NA,y,y,won't feel bad,good,y,n,n,y,y,didn't like,bad,n,y,y,polite,lied to make feel good,polite,say drawing is good,NA,NA,y,y,NA,y,y,NA
160106-03_3A14,india,exp,2,8,M,hindi,y,y,y,y,y,y,y,y,NA,good,y,n,y,y,y,liked,bad,y,n,n,polite,NA,honest,NA,NA,NA,y,y,NA,not good,y,n,n,y,y,NA,good,y,n,y,polite,NA,polite,NA,NA,NA,y,n,NA,y,y,NA
160106-04_3A4,india,exp,1,8,M,hindi,y,y,y,y,y,y,y,y,didn't like,bad,n,y,y,y,y,didn't want to see sad,good,y,n,n,polite,didn't want to see sad,polite,said liked,NA,NA,y,y,didn't want to see sad,good,y,n,n,y,y,didn't like,bad,n,y,y,polite,didn't want to see sad,polite,said like,NA,NA,y,y,NA,y,y,NA
160106-05_3A20,india,exp,2,8,M,gujarati,y,y,y,y,y,y,y,y,didn't like,good,y,n,y,y,y,won't feel bad,good,y,n,n,honest,truth,honest,truth,NA,NA,y,y,would be sad if truth,good,n,y,n,y,y,won't be sad,good,n,y,n,polite,good,honest,came first,NA,NA,n,n,NA,y,n,NA
160106-06_3A52,india,exp,1,8,F,gujarati,y,y,y,y,y,y,y,y,didn't like,bad,n,y,y,y,y,won't feel bad,good,y,n,n,honest,good,polite,lied but felt good,NA,NA,y,y,feel happy,good,y,n,n,y,y,what he thought,bad,n,y,y,honest,truth,honest,truth,NA,NA,n,y,NA,n,n,NA
160106-07_3A55,india,exp,1,8,F,hindi,y,y,y,y,y,y,y,y,didn't like,bad,y,n,y,y,y,won't feel bad,good,y,n,n,honest,didn't lie,honest,truth,NA,NA,y,y,won't feel bad,good,y,n,n,y,y,won't feel bad,good,y,n,n,honest,NA,honest,truth,NA,NA,n,n,NA,n,n,NA
160106-08_3A27,india,exp,2,8,M,hindi,y,y,y,y,y,y,y,y,didn't like,bad,y,n,y,y,y,friend,truth,n,y,n,honest,good,polite,said like,NA,NA,y,y,friend,good,n,y,n,y,y,not friend,bad,y,n,y,honest,good,polite,said like,NA,NA,n,y,NA,n,y,NA
160106-09_3A58,india,exp,2,8,F,gujarati,y,y,y,y,y,y,y,y,made bad,bad,y,n,y,y,y,won't feel bad,bad,n,y,n,honest,truth,honest,truth,NA,NA,y,y,don't get upset,good,n,y,n,y,y,won't give to someone else,bad,y,n,y,honest,good,polite,lied,NA,NA,n,n,NA,n,y,NA
160106-10_3A17,india,cont,1,8,M,gujarati,y,y,y,y,y,y,y,y,NA,NA,n,y,n,y,y,NA,NA,n,y,n,honest,truth,polite,liked,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,truth,honest,truth,NA,NA,y,n,NA,y,y,NA
160106-11_3A50,india,cont,2,8,F,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,honest,honest,good,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,can ask,honest,good,NA,NA,y,y,NA,y,y,NA
160106-12_3A54,india,cont,1,8,F,gujarati,y,y,y,y,y,y,y,y,NA,NA,n,y,y,y,y,NA,NA,n,y,n,honest,honest,honest,honest,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,honest,honest,honest,NA,NA,y,y,NA,y,y,NA
160106-13_3A16,india,cont,1,8,M,hindi,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,good,honest,good,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,n,y,n,polite,good,polite,good,NA,NA,y,y,NA,n,n,NA
160106-14_3A59,india,cont,2,8,F,gujarati,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,y,n,honest,honest,honest,good,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,honest,honest,good,NA,NA,y,y,NA,y,y,NA
160106-15_3A3,india,cont,1,8,M,gujarati,y,y,y,y,y,y,y,y,NA,NA,y,n,y,y,y,NA,NA,n,n,n,honest,honest,honest,good,NA,NA,y,y,NA,NA,n,y,n,y,y,NA,NA,y,n,y,honest,honest,honest,honest,NA,NA,y,y,NA,y,y,NA
