subid,order,practice1_nice,practice1_mean,practice2_nice,practice2_mean,practice3_truth,practice3_truth,trial1_comp_like,trial1_comp_tell,trial1_SWhy,trial1_LFeel,trial1_q1,trial1_q2,trial1_q3,trial2_comp_like,trial2_comp_tell,trial2_SWhy,trial2_LFeel,trial2_q1,trial2_q2,trial2_q3,trial1_2_play,trial1_2_playWhy,trial1_2_eval,trial1_2_evalWhy,trial3_comp_like,trial3_comp_tell,trial3_SWhy,trial3_LFeel,trial3_q1,trial3_q2,trial3_q3,trial4_comp_like,trial4_comp_tell,trial4_SWhy,trial4_LFeel,trial4_q1,trial4_q2,trial4_q3,trial3_4_play,trial3_4_playWhy,trial3_4_eval,trial3_4_evalWhy,trial1_2_playCorrect,trial1_2_evalCorrect,trial3_4_playCorrect,trial3_4_evalCorrect
151221-01,1exp,y,y,y,y,y,y,y,y,yucky,sad,n,y,n,y,y,nive,happy,y,n,n,y,nice,y,girl,y,y,nice,happy,y,n,n,y,y,ugly,sad,n,y,y,y,idk,n,honest,,,,
151221-02,1cont,y,y,y,y,y,y,y,y,,,y,n,y,,,,,n,y,n,y,,y,,y,y,,,n,y,n,y,y,,,y,n,y,y,,y,,,,,
151221-03,1exp,y,y,y,y,y,y,y,y,didn't like,bad,n,y,n,y,y,not feel bad,idk,y,n,n,y,,y,might like another cookie,y,y,,,y,n,n,,,,,n,y,n,y,,y,might like another drawing,,,,
151221-04,1exp,y,y,y,y,y,y,y,y,,,n,y,y,,,,,y,n,y,y,,y,,,,,,,,,,,,,,,,,,,,,,,
151221-05,1exp,y,y,y,y,y,y,y,y,,,n,n,y,,,,,y,n,n,y,told a lie,y,might like it,,,,,y,n,n,,,,,n,n,n,y,told a lie,n,liked it,,,,
151221-06,1exp,y,y,y,y,y,y,y,y,,,n,n,y,,,,,y,n,y,n,,n,,,,,,,,,,,,,,,,,,,,,,,
151221-07,1exp,y,y,y,y,y,y,y,y,,,dk,dk,y,,,,,dk,n,dk,y,,n,,,,,,dk,dk,dk,,,,,n,dk,dk,y,,n,,,,,
151221-08,1cont,y,y,y,y,y,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151221-09,1exp,y,y,y,y,y,y,y,y,,,dk,0.5,y,,,,,0.5,n,n,n,truth,n,dk,,,,,0.5,0.5,n,,,,,y,n,y,n,truth,n,dk,,,,
151221-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
